smiles,logP,qed,SAS,iupac
"C=CCc1ccccc1OC(C)=O
",2.3404,0.401613492087,1.9437243653934413,(2-prop-2-enylphenyl) acetate
"C[C@@H](c1nccs1)N(C)C(=O)c1cccc(NC(=O)C2CCCC2)c1
",4.105,0.843003143785,2.639229713379857,"3-(cyclopentanecarbonylamino)-N-methyl-N-[(1S)-1-(1,3-thiazol-2-yl)ethyl]benzamide"
"CC[C@H](COC)NC(=O)c1cc2c(C)nn(-c3ccccc3)c2s1
",3.5502199999999995,0.726807540167,2.7375010332804184,"N-[(2R)-1-methoxybutan-2-yl]-3-methyl-1-phenylthieno[3,2-d]pyrazole-5-carboxamide"
"Cc1cc(NC(=O)N2CCC[C@@H]2Cc2ccccc2Cl)no1
",3.87542,0.903595259914,2.6770703841500723,"(2R)-2-[(2-chlorophenyl)methyl]-N-(5-methyl-1,2-oxazol-3-yl)pyrrolidine-1-carboxamide"
"Cc1cc(CN(C)c2ccc(S(=O)(=O)N3CCOCC3)cc2[N+](=O)[O-])no1
",1.54852,0.5377505909120001,2.5193973464534056,"N-methyl-N-[(5-methyl-1,2-oxazol-3-yl)methyl]-4-morpholin-4-ylsulfonyl-2-nitroaniline"
"CCNS(=O)(=O)c1ccc(Cl)c(N)c1
",1.2204,0.782181756368,1.983397841409392,3-amino-4-chloro-N-ethylbenzenesulfonamide
"CN(C)C(=O)N(Cc1ccc(OS(=O)(=O)c2ccc(F)cc2)cc1)C1CC1
",3.2394,0.69688253392,2.274320348532408,[4-[[cyclopropyl(dimethylcarbamoyl)amino]methyl]phenyl] 4-fluorobenzenesulfonate
"COc1ccc(-c2nnc(S[C@H]3CCOC3=O)n2-c2ccccc2)cc1
",3.3505,0.632479233156,2.6520627223263378,"(3S)-3-[[5-(4-methoxyphenyl)-4-phenyl-1,2,4-triazol-3-yl]sulfanyl]oxolan-2-one"
"CC(C)n1nc(CC(=O)Nc2cccc3c2ccn3C(C)C)c2ccccc2c1=O
",4.6942,0.502968186474,2.4934976591118168,2-(4-oxo-3-propan-2-ylphthalazin-1-yl)-N-(1-propan-2-ylindol-4-yl)acetamide
"CC(C)(C)Oc1cccc(-c2cc(=O)n3nccc3[nH]2)c1
",2.8669,0.780426187594,2.775157049376107,"5-[3-[(2-methylpropan-2-yl)oxy]phenyl]-1H-pyrazolo[1,5-a]pyrimidin-7-one"
"O=S(=O)(Nc1ncn(Cc2ccc(Cl)c(Cl)c2)n1)c1ccc(Cl)cc1
",4.0874,0.652908620292,2.162807719693125,"4-chloro-N-[1-[(3,4-dichlorophenyl)methyl]-1,2,4-triazol-3-yl]benzenesulfonamide"
"O=Cc1ccc(-c2ccc(Cl)c(Br)c2)s1
",4.6435,0.7056244405959999,2.4102737781445764,5-(3-bromo-4-chlorophenyl)thiophene-2-carbaldehyde
"COCc1c(C(=O)N(C)C[C@@H]2CCC[NH+](C)C2)cnn1-c1ncc(C)c(-c2cccs2)n1
",1.84232,0.592273234992,4.3279690249240925,5-(methoxymethyl)-N-methyl-N-[[(3S)-1-methylpiperidin-1-ium-3-yl]methyl]-1-(5-methyl-4-thiophen-2-ylpyrimidin-2-yl)pyrazole-4-carboxamide
"Cc1ccccc1Cn1c(=O)c2c(nc3n(CCO)c(C)cn23)n(C)c1=O
",0.80684,0.58761094987,2.598704423376484,"6-(2-hydroxyethyl)-4,7-dimethyl-2-[(2-methylphenyl)methyl]purino[7,8-a]imidazole-1,3-dione"
"CC(C)Cc1ccc([C@@H](C)C(=O)N[C@H](C(=O)[O-])C(C)C)cc1
",1.8793,0.841219214376,3.153839789451117,(2S)-3-methyl-2-[[(2R)-2-[4-(2-methylpropyl)phenyl]propanoyl]amino]butanoate
"COc1cccc(C(=O)NC2CCN(C(=S)Nc3cc(C)ccc3C)CC2)c1
",3.90324,0.741285371514,2.039491478450394,"N-[1-[(2,5-dimethylphenyl)carbamothioyl]piperidin-4-yl]-3-methoxybenzamide"
"Cc1ccc(NC(=O)[C@H]2CCCN(S(=O)(=O)c3ccccc3)C2)c(OCc2ccccc2)c1
",4.61342,0.5294251811399999,2.44980176813934,(3S)-1-(benzenesulfonyl)-N-(4-methyl-2-phenylmethoxyphenyl)piperidine-3-carboxamide
"Cc1ccc(C(=O)Nc2ccc(N3CCCC3=O)cc2)cc1[N+](=O)[O-]
",3.28232,0.67160956835,1.9375189284843333,4-methyl-3-nitro-N-[4-(2-oxopyrrolidin-1-yl)phenyl]benzamide
"CC1(C)C[C@@H]2C[C@@](C)(CN2c2ncnc(NNC(=O)c3ccncc3)c2N)C1
",2.6157,0.696413449368,4.249638361043111,"N'-[5-amino-6-[(1S,5R)-1,3,3-trimethyl-6-azabicyclo[3.2.1]octan-6-yl]pyrimidin-4-yl]pyridine-4-carbohydrazide"
